Timestamp, gyro_x, gyro_y, gyro_z, acc_x, acc_y, acc_z, mag_qw, mag_qx, mag_qy, ss_qx, ss_qy, ss_qz, ss_qw, stillness
1261, 0, 0, 0.006108472, -0.01782227, 1.009033, 0.01269531, -0.03546545, -0.2567339, 0.2361548, -9.927922E-05, -2.95741E-05, 0.0002518218, 1, 0.9984479
1276, -0.01832542, 0.01588203, 0.008551861, -0.01464844, 1.005371, 0.003173828, -0.03544754, -0.2567565, 0.2360984, -9.644451E-05, -6.523677E-05, 0.000258195, 1, 0.9984479
1280, -0.002443389, 0.009773556, -0.006108472, -0.015625, 1.012939, 0.008789063, -0.03543589, -0.2567681, 0.2360738, -9.604177E-05, -0.0001092007, 0.0002595307, 1, 0.9958693
1288, -0.007330167, 0.01099525, -0.003665083, -0.015625, 1.008301, 0.01611328, -0.03542448, -0.2567704, 0.2360497, -9.564735E-05, -9.183875E-05, 0.0002600231, 1, 0.9958693
1297, -0.0219905, 0.01343864, 0.004886778, -0.015625, 1.012695, 0.001708984, -0.03544981, -0.2567908, 0.2360078, -0.0001186463, -8.63051E-05, 0.0002421947, 1, 0.9921129
1305, 0.006108472, 0.01954711, 0.007330167, -0.01269531, 1.01416, 0.001220703, -0.03547463, -0.2568201, 0.2359759, -0.0001523846, -0.000119967, 0.0002441198, 1, 0.9905899
1320, -0.01710372, 0.01343864, -0.006108472, -0.01416016, 1.010986, 0.01220703, -0.03549896, -0.2568578, 0.2359538, -0.0001755332, -0.0001089057, 0.0002184252, 1, 0.9890444
1331, -0.01343864, 0.0219905, 0.006108472, -0.0078125, 1.013672, 0.01464844, -0.03544977, -0.25684, 0.2358955, -0.000198861, -4.728574E-05, 0.0002573797, 1, 0.9877238
1339, -0.002443389, 0.01954711, 0.004886778, -0.01635742, 1.015869, 0.005371094, -0.0354326, -0.2568139, 0.2358834, -0.0002036516, -3.939045E-05, 0.0002262511, 0.9999999, 0.9853575
1350, -0.003665083, 0.01954711, -0.001221695, -0.01049805, 1.012939, 0.01123047, -0.03546703, -0.2568062, 0.2358904, -0.0002203332, 1.315572E-05, 0.000235218, 1, 0.9828284
1358, -0.004886778, 0.001221695, -0.006108472, -0.01049805, 1.013672, 0.009277344, -0.03552803, -0.2568077, 0.2358882, -0.000185845, 3.321171E-05, 0.000226425, 1, 0.9828805
1367, -0.003665083, -0.001221695, -0.001221695, -0.01269531, 1.010742, 0.008789063, -0.03551478, -0.2567909, 0.2359043, -0.0002071265, 1.960344E-05, 0.0002352787, 1, 0.9897537
1381, 0.001221695, 0.001221695, -0.002443389, -0.009277344, 1.013428, 0.00390625, -0.03552015, -0.2568019, 0.2359109, -0.0001516312, 1.494079E-05, 0.0002564037, 1, 0.9891915
1390, 0.001221695, 0.009773556, 0.007330167, -0.01245117, 1.011719, 0.009765625, -0.03554357, -0.25684, 0.2359083, -0.0001217767, 1.367988E-05, 0.0002807069, 1, 0.9917597
1400, -0.01343864, 0.003665083, -0.008551861, -0.01342773, 1.010986, 0.01269531, -0.03552334, -0.2568685, 0.2359045, -0.0001474372, 5.683236E-06, 0.0002252954, 1, 0.9913663
1407, -0.02565558, 0.008551861, -0.004886778, -0.01489258, 1.011719, 0.01416016, -0.03551019, -0.2568687, 0.2359203, -0.0001923002, -2.825915E-05, 0.0001831439, 1, 0.9934334
1416, -0.004886778, 0.01221694, -0.006108472, -0.01074219, 1.007568, 0.002197266, -0.03553381, -0.2568142, 0.2359358, -0.0002467111, -3.81108E-05, 0.0001800036, 1, 0.99589
1427, 0.001221695, 0.008551861, -0.003665083, -0.01293945, 1.01001, 0.009765625, -0.03551109, -0.2567883, 0.2359326, -0.0002498261, -3.151599E-05, 0.0001531404, 1, 0.9972437
1439, -0.01710372, 0.01343864, 0.01221694, -0.01513672, 1.01709, 0.01367188, -0.03544341, -0.2567901, 0.2359113, -0.0002223037, -2.001069E-05, 0.0001616249, 1, 0.9900877
1450, -0.01099525, 0.007330167, -0.003665083, -0.01123047, 1.01001, 0.005859375, -0.03550488, -0.2568284, 0.2359451, -0.0002239449, -6.579158E-05, 0.0001215229, 1, 0.9899688
1465, -0.02809897, 0.01099525, 0.004886778, -0.01831055, 1.009766, 0.009277344, -0.03554002, -0.2568479, 0.236013, -0.0003027482, -6.280694E-05, 8.881732E-05, 1, 0.9901552
1471, -0.01221694, 0.01588203, 0.004886778, -0.015625, 1.013916, 0.007324219, -0.03555397, -0.2568486, 0.2360539, -0.0003463167, -6.639851E-05, 8.401531E-05, 1, 0.9944639
1477, -0.01221694, 0.02076881, 0.01466033, -0.01269531, 1.010986, 0.009277344, -0.03557672, -0.2568492, 0.236085, -0.0003619739, -4.831165E-05, 7.119065E-05, 1, 0.9931048
1488, -0.009773556, 0.009773556, -0.007330167, -0.01245117, 1.010742, 0.006347656, -0.03554425, -0.2568316, 0.2360424, -0.0003973835, 1.886947E-07, 0.00011742, 1, 0.9919865
